Ceremony,Year,Location,Class,Category,Movie,Movie Code,Name,Nominees,Winner,Detail,Note
88,2015,"197 Washington Square South, New York, NY 10012, United States",SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),,,,DAVID McINTOSH|Steve Smith|Mike Branham|Michael Kirilenko,True,Stage Operations,"This system of modular inflatable panels can be erected on location, at lengths reaching hundreds of feet, with exceptional speed and safety. When used to support blue or green screens, the Airwall permits composite shots of unprecedented scale."
88,2015,"198 Washington Square South, New York, NY 10012, United States",SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),,,,Trevor Davies|Thomas Wan|Jon Scott Miller|Jared Smith|Matthew Robinson,True,Digital Apparatuses Technology,"The PRM's pioneering and innovative design allows the stable, accurate representation of images with the entire luminance range and color gamut used in contemporary theatrical feature presentation."
88,2015,"199 Washington Square South, New York, NY 10012, United States",SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),,,,Ronald Mallet|Christoph Bregler,True,Digital Imaging Technology,Geometry Tracker facilitates convincing interaction of digital and live-action elements within a scene. Its precise results and tight integration with other ILM animation technologies solve a wider range of match-animation challenges than was previously possible.
88,2015,"200 Washington Square South, New York, NY 10012, United States",SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),,,,Jim Hourihan|Alan Trombla|Seth Rosenthal,True,Digital Imaging Technology,"RV's multi-platform toolset for review and playback, with comprehensive APIs, has allowed studios of all sizes to take advantage of a state-of-the-art workflow and has achieved widespread adoption in the motion picture industry."
88,2015,"201 Washington Square South, New York, NY 10012, United States",SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),,,,Richard Chuang|Rahul C. Thakkar|Andrew Pilgrim|Stewart Birnam|Mark Kirk,True,Digital Imaging Technology,"Over its nearly two decades of development, this pioneering system enabled desktop and digital theater review. It continues to provide artist-driven, integrated, consistent and highly scalable studio-wide playback and interactive reviews."
88,2015,"202 Washington Square South, New York, NY 10012, United States",SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),,,,Keith Goldfarb|Steve Linn|Brian Green|Raymond Chih,True,Digital Imaging Technology,"This consistent, integrated, production database-backed review system enables a recordable workflow and an efficient, collaborative content review process across multiple sites and time zones."
88,2015,"203 Washington Square South, New York, NY 10012, United States",SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),,,,J Robert Ray|Cottalango Leon|Sam Richards,True,Digital Imaging Technology,"With an extensive plugin API and comprehensive facility integration including editorial functions, Itview provides an intuitive and flexible creative review environment that can be deployed globally for highly efficient collaboration."
88,2015,"204 Washington Square South, New York, NY 10012, United States",SciTech,SCIENTIFIC AND TECHNICAL AWARD (Special Award),,,,The Society of Motion Picture and Television Engineers,True,,
89,2016,"327 Washington Square South, New York, NY 10012, United States",Special,HONORARY AWARD,,,,Jackie Chan,True,,
89,2016,"328 Washington Square South, New York, NY 10012, United States",Special,HONORARY AWARD,,,,Anne V. Coates,True,,
89,2016,"329 Washington Square South, New York, NY 10012, United States",Special,HONORARY AWARD,,,,Lynn Stalmaster,True,,
89,2016,"330 Washington Square South, New York, NY 10012, United States",Special,HONORARY AWARD,,,,Frederick Wiseman,True,,
89,2016,"331 Washington Square South, New York, NY 10012, United States",SciTech,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),,,,Arri,True,,"With an intuitive design and appealing image reproduction, achieved through close collaboration with filmmakers, ARRI's Alexa cameras were among the first digital cameras widely adopted by cinematographers."
89,2016,"332 Washington Square South, New York, NY 10012, United States",SciTech,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),,,,Red Digital Cinema,True,,RED's revolutionary design and innovative manufacturing process have helped facilitate the wide adoption of digital image capture in the motion picture industry.
89,2016,"333 Washington Square South, New York, NY 10012, United States",SciTech,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),,,,Sony,True,,Sony's unique photosite orientation and true RAW recording deliver exceptional image quality.
89,2016,"334 Washington Square South, New York, NY 10012, United States",SciTech,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),,,,Panavision|Sony,True,,"Using a familiar form factor and accessories, the design features of the Genesis allowed it to become one of the first digital cameras to be adopted by cinematographers."
89,2016,"335 Washington Square South, New York, NY 10012, United States",SciTech,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),,,,Marcos Fajardo|Christopher Kulla|Alan King|Thiago Ize|Clifford Stein,True,,"Arnold's scalable and memory-efficient single-pass architecture for path tracing, its authors' publication of the underlying techniques, and its broad industry acceptance were instrumental in leading a widespread adoption of fully ray-traced rendering for motion pictures."
89,2016,"336 Washington Square South, New York, NY 10012, United States",SciTech,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),,,,Vladimir Koylazov,True,,"V- Ray's efficient production-ready approach to ray-tracing and global illumination, its support for a wide variety of workflows, and its broad industry acceptance were instrumental in the widespread adoption of fully ray-traced rendering for motion pictures."
89,2016,"337 Washington Square South, New York, NY 10012, United States",SciTech,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),,,,Luca Fascione|J.P. Lewis|Iain Matthews,True,,"FACETS was one of the first reliable systems to demonstrate accurate facial tracking from an actor-mounted camera, combined with rig-based solving, in large-scale productions. This system enables animators to bring the nuance of the original live performances to a new level of fidelity for animated characters."
89,2016,"338 Washington Square South, New York, NY 10012, United States",SciTech,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),,,,Steven Rosenbluth|JOSHUA BARRATT|ROBERT NOLTY|ARCHIE TE,True,,"This user-friendly hardware and software system creates and controls complex interactions of real and virtual motion in hard real-time, while safely adapting to the needs of on-set filmmakers."
89,2016,"339 Washington Square South, New York, NY 10012, United States",SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),,,,Thomson Grass Valley,True,,"The Viper camera enabled frame-based logarithmic encoding, which provided uncompressed camera output suitable for importing into existing digital intermediate workflows."
89,2016,"340 Washington Square South, New York, NY 10012, United States",SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),,,,Larry Gritz,True,,OSL is a highly optimized runtime architecture and language for programmable shading and texturing that has become a de facto industry standard. It enables artists at all levels of technical proficiency to create physically plausible materials for efficient production rendering.
89,2016,"341 Washington Square South, New York, NY 10012, United States",SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),,,,Carl Ludwig|Eugene Troubetzkoy|Maurice Van Swaaij,True,,"CGI Studio's groundbreaking ray-tracing and adaptive sampling techniques, coupled with streamlined artist controls, demonstrated the feasibility of ray-traced rendering for feature film production."
89,2016,"342 Washington Square South, New York, NY 10012, United States",SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),,,,Brian Whited,True,,"Meander's innovative curve-rendering method faithfully captures the artist's intent, resulting in a significant improvement in creative communication throughout the production pipeline."
89,2016,"343 Washington Square South, New York, NY 10012, United States",SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),,,,Mark Rappaport|Scott Oshita|Jeff Cruts|Todd Minobe,True,,"The Animatronic Horse Puppet provides increased actor safety, close integration with live action, and improved realism for filmmakers."
89,2016,"344 Washington Square South, New York, NY 10012, United States",SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),,,,Glenn Sanders|Howard Stark,True,,"The Zaxcom system has advanced the state of wireless microphone technology by creating a fully digital modulation system with a rich feature set, which includes local recording capability within the belt pack and a wireless control scheme providing real-time transmitter control and time-code distribution."
89,2016,"345 Washington Square South, New York, NY 10012, United States",SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),,,,David Thomas|Lawrence E. Fisher|David Bundy,True,,"The Lectrosonics system has advanced the state of wireless microphone technology by means of an innovative digital predictive algorithm to realize full fidelity audio transmission over a conventional analog FM radio link, by reducing transmitter size, and by increasing power efficiency."
89,2016,"346 Washington Square South, New York, NY 10012, United States",SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),,,,Parag Havaldar,True,,"This pioneering system enabled large-scale use of animation rig-based facial performance-capture for motion pictures, combining solutions for tracking, stabilization, solving and animator-controllable curve editing."
89,2016,"347 Washington Square South, New York, NY 10012, United States",SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),,,,Nicholas Apostoloff|Geoff Wedig,True,,"These systems evolved through independent, then combined, efforts at two different studios, resulting in an artist-controllable, editable, scalable solution for the high-fidelity transfer of facial performances to convincing digital characters."
89,2016,"348 Washington Square South, New York, NY 10012, United States",SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),,,,Kiran Bhat|Michael Koperwas|Brian Cantwell|Paige Warner,True,,"This system enables high-fidelity facial performance transfer from actors to digital characters in large-scale productions while retaining full artistic control, and integrates stable rig-based solving and the resolution of secondary detail in a controllable pipeline."
90,2017,"176 Washington Square S, New York, NY 10012, USA",Special,HONORARY AWARD,,,,Charles Burnett,True,,
90,2017,"177 Washington Square S, New York, NY 10012, USA",Special,HONORARY AWARD,,,,Owen Roizman,True,,
90,2017,"178 Washington Square S, New York, NY 10012, USA",Special,HONORARY AWARD,,,,Donald Sutherland,True,,
90,2017,"179 Washington Square S, New York, NY 10012, USA",Special,HONORARY AWARD,,,,Agnès Varda,True,,
90,2017,"180 Washington Square S, New York, NY 10012, USA",Special,GORDON E. SAWYER AWARD,,,,Jonathan Erland,True,,
